task,dim,n_x,treatment,scores,median,uses_llm
SS-M,high,17,T0_UCB_GPM,"[0.002554495030733923, 0.002554495030733923, 0.14991196853805291, 0.002554495030733923, 0.0058425102141571195, 0.00661764705882357, 0.005882352941176553, 0.002554495030733923, 0.004760235019133437, 0.0034706963960745834]",0.004115465707604,False
SS-M,high,17,T1_SingleStep_LLM,"[0.004760235019133437, 0.0049506444198987734, 0.002554495030733923, 0.00661764705882357, 0.0058425102141571195, 0.004594654478053393, 0.004594654478053393, 0.002554495030733923, 0.0034706963960745834, 0.0034706963960745834]",0.0045946544780533,True
SS-M,high,17,T2_Iterative_LLM,"[0.002554495030733923, 0.002554495030733923, 0.004760235019133437, 0.002554495030733923, 0.002554495030733923, 0.005882352941176553, 0.005882352941176553, 0.002554495030733923, 0.002554495030733923, 0.002554495030733923]",0.0025544950307339,True
SS-M,high,17,T1b_SynthCore,"[0.002554495030733923, 0.002554495030733923, 0.0034706963960745834, 0.002554495030733923, 0.002554495030733923, 0.004594654478053393, 0.002554495030733923, 0.002554495030733923, 0.004594654478053393, 0.002554495030733923]",0.0025544950307339,True
SS-M,high,17,T3a_Constraint_Single,"[0.00661764705882357, 0.005500578997497775, 0.02410068349246688, 0.01244805568241752, 0.005500578997497775, 0.008823529411764725, 0.005882352941176553, 0.002554495030733923, 0.003676470588235293, 0.003676470588235293]",0.0056914659693371,True
SS-M,high,17,T3b_Constraint_Ensemble,"[0.005882352941176553, 0.002554495030733923, 0.002554495030733923, 0.002554495030733923, 0.005500578997497775, 0.0058425102141571195, 0.005882352941176553, 0.002554495030733923, 0.0034706963960745834, 0.002554495030733923]",0.003012595713404253,True
SS-M,high,17,T4_LLM_DimReduction,"[0.007683298851089731, 0.002554495030733923, 0.003676470588235293, 0.005500578997497775, 0.005882352941176553, 0.003676470588235293, 0.005882352941176553, 0.002554495030733923, 0.004760235019133437, 0.006095402837971538]",0.005130407008315606,True
SS-N,high,17,T0_UCB_GPM,"[0.2692728396823132, 0.25248490036619586, 0.13387549341323063, 0.25475579017453753, 0.18448899034574592, 0.2553502639463547, 0.2711989347030009, 0.1761069101631236, 0.2584771959861131, 0.2528891425310315]",0.2538224663527845,False
SS-N,high,17,T1_SingleStep_LLM,"[0.2692728396823132, 0.12486327103248203, 0.12486327103248203, 0.2520212108241784, 0.1543610595900509, 0.142328910448471, 0.2732677034289247, 0.255706948209445, 0.2791292148190422, 0.25281780567841344]",0.2524195082512959,True
SS-N,high,17,T2_Iterative_LLM,"[0.2692728396823132, 0.12486327103248203, 0.13387549341323063, 0.251902316069815, 0.13206829314690635, 0.12486327103248203, 0.2226660959718457, 0.2780829409806439, 0.1343867408569934, 0.25203310029961484]",0.17852641841441955,True
SS-N,high,17,T1b_SynthCore,"[0.13206829314690635, 0.12486327103248203, 0.13387549341323063, 0.19489228135254671, 0.15924763399438818, 0.24904884196509247, 0.27129405050649164, 0.19489228135254671, 0.18778237504161316, 0.25203310029961484]",0.19133732819707994,True
SS-N,high,17,T3a_Constraint_Single,"[0.27534836163028487, 0.12486327103248203, 0.13387549341323063, 0.2520212108241784, 0.18125505302706044, 0.25850097493698576, 0.2714605031626004, 0.2769653302896276, 0.10348599419793598, 0.24835925238978454]",0.25019023160698145,True
SS-N,high,17,T3b_Constraint_Ensemble,"[0.17878204213630092, 0.12486327103248203, 0.12486327103248203, 0.19516573928758266, 0.14356541589385075, 0.24904884196509247, 0.27129405050649164, 0.19516573928758266, 0.12486327103248203, 0.25203310029961484]",0.1869738907119418,True
SS-N,high,17,T4_LLM_DimReduction,"[0.25544537974984544, 0.2527583583012318, 0.11879963855994674, 0.2516883055119608, 0.157131307366719, 0.2553502639463547, 0.2516883055119608, 0.2516883055119608, 0.25214010557854183, 0.25392352689399345]",0.25191420554525135,True
