treatment,stratum,rank0_%,n_tasks
T0_UCB_GPM,low,0.0,0
T1_SingleStep_LLM,low,0.0,0
T2_Iterative_LLM,low,0.0,0
T1b_SynthCore,low,0.0,0
T3a_Constraint_Single,low,0.0,0
T3b_Constraint_Ensemble,low,0.0,0
T4_LLM_DimReduction,low,0.0,0
T0_UCB_GPM,medium,0.0,0
T1_SingleStep_LLM,medium,0.0,0
T2_Iterative_LLM,medium,0.0,0
T1b_SynthCore,medium,0.0,0
T3a_Constraint_Single,medium,0.0,0
T3b_Constraint_Ensemble,medium,0.0,0
T4_LLM_DimReduction,medium,0.0,0
T0_UCB_GPM,high,75.0,8
T1_SingleStep_LLM,high,75.0,8
T2_Iterative_LLM,high,87.5,8
T1b_SynthCore,high,87.5,8
T3a_Constraint_Single,high,87.5,8
T3b_Constraint_Ensemble,high,100.0,8
T4_LLM_DimReduction,high,75.0,8
